filename,detector,pixel_x,pixel_y,ra_deg,dec_deg
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,100.000000,269.9793889776,65.9772644751
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,100.000000,269.9640147092,65.9772648158
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,100.000000,269.9486398653,65.9772657385
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,100.000000,269.9332649532,65.9772671526
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,100.000000,269.9178904066,65.9772689825
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,100.000000,269.9025165939,65.9772711670
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,100.000000,269.8871438268,65.9772736587
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,100.000000,269.8717723691,65.9772764233
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,100.000000,269.8564024446,65.9772794397
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,100.000000,269.8410342461,65.9772826987
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,100.000000,269.8256679435,65.9772862034
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,100.000000,269.8103036925,65.9772899678
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,100.000000,269.7949416432,65.9772940173
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,100.000000,269.7795819483,65.9772983872
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,100.000000,269.7642247718,65.9773031232
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,100.000000,269.7488702975,65.9773082803
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,100.000000,269.7335187374,65.9773139223
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,100.000000,269.7181703403,65.9773201221
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,100.000000,269.7028254001,65.9773269602
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3988.000000,100.000000,269.6874842646,65.9773345253
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,304.631579,269.9793725517,65.9833752480
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,304.631579,269.9639893961,65.9833754938
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,304.631579,269.9486058365,65.9833762725
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,304.631579,269.9332223592,65.9833775021
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,304.631579,269.9178393773,65.9833791145
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,304.631579,269.9024572400,65.9833810553
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,304.631579,269.8870762403,65.9833832824
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,304.631579,269.8716966237,65.9833857664
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,304.631579,269.8563185970,65.9833884897
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,304.631579,269.8409423364,65.9833914460
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,304.631579,269.8255679965,65.9833946398
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,304.631579,269.8101957179,65.9833980861
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,304.631579,269.7948256368,65.9834018097
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,304.631579,269.7794578927,65.9834058450
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,304.631579,269.7640926371,65.9834102351
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,304.631579,269.7487300422,65.9834150320
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,304.631579,269.7333703092,65.9834202954
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,304.631579,269.7180136770,65.9834260927
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,304.631579,269.7026604304,65.9834324987
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3988.000000,304.631579,269.6873109088,65.9834395945
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,509.263158,269.9793577930,65.9894907258
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,509.263158,269.9639658868,65.9894909108
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,509.263158,269.9485737259,65.9894915795
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,509.263158,269.9331817771,65.9894926581
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,509.263158,269.9177904350,65.9894940859
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,509.263158,269.9024000306,65.9894958147
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,509.263158,269.8870108399,65.9894978080
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,509.263158,269.8716230922,65.9895000406
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,509.263158,269.8562369786,65.9895024982
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,509.263158,269.8408526606,65.9895051770
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,509.263158,269.8254702786,65.9895080830
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,509.263158,269.8100899602,65.9895112315
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,509.263158,269.7947118290,65.9895146469
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,509.263158,269.7793360130,65.9895183620
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,509.263158,269.7639626530,65.9895224174
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,509.263158,269.7485919112,65.9895268616
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,509.263158,269.7332239795,65.9895317498
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,509.263158,269.7178590886,65.9895371442
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,509.263158,269.7024975157,65.9895431128
